Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What does distributive justice ask about a society?,2,How it punishes criminals,How it divides its benefits and burdens,How it regulates professional licensing,How it develops medical technology,
MC,,,What is the formal principle of justice?,1,Treat like cases alike,Society must secure human capabilities,Always maximize utility,No one owes anyone health care,
MC,,,Which lens focuses on producing the most well-being in allocations?,1,Utilitarian,Rawlsian,Capabilities,Libertarian,
MC,,,Health economists often measure benefit using what metric?,4,Gross Domestic Product,Medical Urgency Score,Capabilities Index,Quality-adjusted life years,
MC,,,John Rawls proposed making rules behind what concept?,1,A veil of ignorance,An out-of-pocket framework,A libertarian proviso,A utilitarian spreadsheet,
MC,,,"According to Rawls, which principle has lexical priority?",2,The difference principle,Equal basic liberties,Total welfare maximization,Fair equality of opportunity,
MC,,,What does the difference principle state about inequalities?,2,Are strictly forbidden in all cases,Must help the least advantaged,Are fine if they increase QALYs,Are acceptable through market transactions,
MC,,,Which theorist focuses on just transactions and free transfers?,3,John Rawls,Martha Nussbaum,Robert Nozick,Amartya Sen,
MC,,,"To a libertarian, what gives real moral weight to an organ?",4,The recipient QALY potential,The recipient capabilities,The recipient medical urgency,Donor directing the donation,
MC,,,Which country operates the only legal regulated kidney market?,1,Iran,Singapore,Spain,United States,
MC,,,What does the capabilities lens focus on securing for people?,1,Freedoms to live human lives,A veil of ignorance,Property rights and free markets,The highest possible QALYs,
MC,,,"In the US, what network matches donated organs to patients?",2,NICE,UNOS,NHS,Medicaid,
MC,,,What is the Spanish approach for organ donation called?,1,Presumed consent,Strict market,Assumed consent,Opt-in,
MC,,,How much did the US spend per person on health care recently?,4,1400 dollars,30000 dollars,6000 dollars,14570 dollars,
MC,,,What is the paradox about US healthcare outcomes?,4,Relies entirely on public funding,Offers universal coverage but has long wait times,Spends the least but has the best outcomes,Spends the most but has middling life expectancy,
MC,,,"According to T.R. Reid, Beveridge model features what?",3,Out-of-pocket cash only,Regulated private nonprofits,Government-owned hospitals,National Health Insurance single-payer,
MC,,,Which model features private providers but a single government insurer?,1,National Health Insurance,Bismarck,Out-of-pocket,Beveridge,
MC,,,"In the Bismarck model, who primarily pays for care?",4,Private corporations without regulation,Patients paying totally out-of-pocket,The government purely from taxes,Regulated nonprofit payroll funds,
MC,,,Why is the US health system considered fragmented?,2,Bans the Bismarck model entirely,Runs all four models simultaneously,Prohibits employers paying for care,Splits hospitals by care strictly,
MC,,,What is a primary reason US healthcare is so expensive?,1,Prices for services are much higher,The US has zero out-of-pocket costs,Americans go to doctors more,Americans spend more days hospitalized,
MC,,,"In Singapore healthcare, what is Medisave?",2,Fully state-funded clinic coverage,Mandatory personal savings account,Catastrophic insurance pool,Voluntary private insurance scheme,
MC,,,What role does the government play in Singapore hospital wards?,3,Makes all wards identical and free,Bans private upgrades entirely,Heavily subsidizes basic wards,Completely privatizes them,
MC,,,What is a criticism of applying QALYs strictly in organ allocation?,3,Relies on assumed market consent,Ignores total life years gained,Systematically disadvantages elderly and disabled,Focuses too much on sickest patients,
MC,,,What did the 1962 Seattle God Committee use to decide?,2,Randomized lottery system,Social worth criteria,Strict utilitarian QALY scoring,Blind auction for the highest bidder,
