Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What clinical term is used in the DSM-5-TR? It describes distress from a mismatch between gender identity and birth sex.,2,Sexual dysfunction,Gender dysphoria,Gender nonconformity,Gender expression,
MC,,,What name is given to biological anatomy recorded at birth? This package includes chromosomes and gonads.,4,Social role,Sexual orientation,Gender identity,Biological sex,
MC,,,"What term describes a person's internal sense of self? This names the persistent feeling of being male, female, or neither.",3,Gender dysphoria,Biological sex,Gender identity,Social role,
MC,,,What is the minimum duration of incongruence required under the DSM-5-TR? This is needed for a gender dysphoria diagnosis.,1,Six months,Five years,One month,Two years,
MC,,,The Williams Institute did a study in 2022. What percentage of U.S. teenagers aged 13 to 17 identify as transgender?,3,9.1 percent,0.2 percent,1.4 percent,5.8 percent,
MC,,,Clinicians developed a staged protocol to pause puberty and buy time. In which city was this Dutch protocol created?,3,Stockholm,London,Amsterdam,Helsinki,
MC,,,What class of medication is used to block puberty? It works by pausing the normal hormonal cascade.,1,GnRH agonists,Adrenal steroids,Growth hormones,Beta blockers,
MC,,,Puberty blockers are widely used. What clinical concern remains a major open question regarding their long-term use?,3,Muscle mass,Kidney function,Bone density,Blood pressure,
MC,,,The York reviews evaluated cross-sex hormones. What level of certainty under GRADE was assigned to this evidence?,2,Absolute certainty,Low certainty,High certainty,Moderate certainty,
MC,,,"The University of York reviewed puberty blockers. What did they find regarding consistent, reliable evidence of mental-health benefit?",4,Overwhelming clinic evidence,Clear biological evidence,Highly certain evidence,No consistent evidence,
MC,,,One country restricted pediatric gender hormones in 2020. Which national health authority made psychosocial care the first-line treatment?,4,Australia,Germany,Canada,Finland,
MC,,,One philosopher published a defense of puberty suppression in 2008. Who wrote this founding defense of buying time?,2,Maura Priest,Simona Giordano,Elizabeth Barnes,Moti Gorin,
MC,,,Who argued that diagnostic gatekeeping is harmful? This bioethicist wants gender affirmation as the default clinical model.,2,Moti Gorin,Florence Ashley,Joel Feinberg,Simona Giordano,
MC,,,Parents sometimes object to gender care. Which bioethicist argued that adolescents should access puberty blockers anyway?,3,Florence Ashley,Elizabeth Barnes,Maura Priest,Moti Gorin,
MC,,,Decisions have different levels of risk. What pediatric ethics concept states that capacity scales with the stakes of a choice?,1,Risk-relative capacity,Prioritarian justice,Procreative beneficence,Diagnostic overshadowing,
MC,,,One model locates the deficit entirely in the patient's body. Which disability model points to cure or rehabilitation as the fix?,2,The political model,The medical model,The interactive model,The social model,
MC,,,One model blames environmental barriers and design choices. Which disability model moves the focus off the body?,1,The social model,The medical model,The interactional model,The diagnostic model,
MC,,,Tom Shakespeare proposed a relational model. Which disability model looks at where the body meets the environment?,3,The medical model,The clinical model,The interactional model,The social model,
MC,,,Disabled people rate their quality of life much higher than clinicians expect. What term describes this phenomenon?,2,The medical model,The disability paradox,The open future,The expressivist objection,
MC,,,Disability is not inherently a harm or a tragedy. Which philosopher defended this mere-difference view?,1,Elizabeth Barnes,Julian Savulescu,Greg Bognar,Adrienne Asch,
MC,,,Disability is a biological disadvantage we have reason to prevent. Which philosopher defended this bad-difference view?,2,Neil Levy,Greg Bognar,Elizabeth Barnes,Adrienne Asch,
MC,,,Selective abortion can send a damaging message about disabled people already here. What names this bioethics objection?,4,The social model,The disability paradox,The autonomy argument,The expressivist objection,
MC,,,Who wrote about the message sent by prenatal testing? Which bioethicist formulated the expressivist objection?,4,Elizabeth Barnes,Tom Shakespeare,Julian Savulescu,Adrienne Asch,
MC,,,Should parents choose the child expected to have the best life? What name is given to this ethical principle?,2,Diagnostic overshadowing,Procreative beneficence,Risk-relative capacity,Equal protection,
