Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Duties owed directly to a being for its own sake require a certain moral standing. What ethical concept names this property?,1,Moral status,Indirect duty,Species distinction,Rational agency,
MC,,,Who coined the clinical term speciesism in 1970? This psychologist sought to challenge bias against other animal kinds.,4,Tom Regan,Carl Cohen,Peter Singer,Richard Ryder,
MC,,,One famous bioethicist popularized the term speciesism in his 1975 book. Who wrote the classic text Animal Liberation?,4,Tom Regan,Richard Ryder,Immanuel Kant,Peter Singer,
MC,,,What philosophical challenge states that any criteria excluding animals from moral status also excludes some vulnerable humans? This is a load-bearing argument in animal ethics.,1,Marginal cases argument,Procreative beneficence theory,Indirect duties framework,Equal consideration principle,
MC,,,Immanuel Kant argued that cruelty to animals is wrong. What kind of duties did he believe we have regarding non-human animals?,1,Indirect duties,Direct duties,Absolute duties,Categorical duties,
MC,,,"According to Peter Singer's utilitarian framework, what capacity is sufficient for a being to possess moral interests? This is the core criterion he proposes.",1,Sentience,Language,Agency,Rationality,
MC,,,"Tom Regan argued that many animals have inherent value. What phrase does he use for beings with beliefs, desires, and a future?",4,Rational human agents,Inherent moral patients,Common fellow creatures,Subjects of life,
MC,,,Which philosopher argued that rights only arise among members of a moral community who can recognize duties? This author defended biomedical research using animals.,2,Peter Singer,Carl Cohen,Christine Korsgaard,Tom Regan,
MC,,,Christine Korsgaard repaired Kant's framework to show we owe direct obligations to animals. What term does she use to describe them?,1,Fellow creatures,Rational agents,Inherent subjects,Moral patients,
MC,,,"In 1959, Russell and Burch proposed a framework to govern humane research. What is this framework widely called?",1,The three Rs,The marginal cases,The rescue rule,The moral community,
MC,,,What R of Russell and Burch's framework demands using computer models or cell cultures instead of living animals? This is the first option researchers must explore.,1,Replacement,Regulation,Reduction,Refinement,
MC,,,What R of Russell and Burch's framework involves using statistical methods to minimize the number of animals needed? This helps limit the overall scale of research.,4,Regulation,Refinement,Replacement,Reduction,
MC,,,What R of Russell and Burch's framework involves using pain control or humane endpoints to minimize distress? This focuses on the treatment of animals during a study.,3,Regulation,Reduction,Refinement,Replacement,
MC,,,What Institutional Care and Use Committee reviews and oversees animal research protocols at funded facilities? This is the animal-side equivalent of the IRB.,3,EHR,WPATH,IACUC,GRADE,
