Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Which kind of paternalism intervenes when choice is not fully voluntary?,1,Soft paternalism only,Strict legal liability,Market-based justice,Blind state neutrality,
MC,,,Harm reduction mainly tries to do what in risky settings?,2,Assign moral blame,Reduce overall harm,Punish relapse behavior,Seek perfect behavior,
MC,,,Relational autonomy treats persons as what?,3,Fully self-creating,Entirely private selves,Socially embedded agents,State-defined persons,
MC,,,The deterrence-of-care objection says criminalization can push patients away from what?,4,Court hearings,Media coverage,Research grants,Prenatal medical care,
MC,,,A fetal-protection statute is designed to protect whose interests?,1,Fetal interests alone,Clinic profit margins,Hospital brand image,State tax credits,
MC,,,Vulnerability as exclusion names what recurring problem?,2,Better access,Research-trial exclusion,Rapid payment,Extra private autonomy,
MC,,,What makes gestational surrogacy distinct from traditional surrogacy?,3,No surrogacy contract,No payment allowed,No genetic tie,No pregnancy involved,
MC,,,Commodification means treating a good under what norms?,2,Family-based norms,Market exchange norms,Religious moral norms,Legal regulatory norms,
MC,,,Robertson's term for the right to decide whether and how to reproduce is what?,4,Publicly shareable reasons,Medical liberty,Moral-pluralist theory,Robertson's procreative liberty,
MC,,,Reproductive justice asks whose choices are constrained by what?,1,Social conditions,Private feelings,Court etiquette,Study blinding,
MC,,,The intent test comes from which case?,3,Baby M,LePage,Johnson v Calvert,Cox v Texas,
MC,,,When the intent test fails what backstop standard often remains?,2,Genuine clinical equipoise,The child's best interests,Shared common morality,Final judgment,
MC,,,Donor anonymity is harder to preserve in the era of what?,1,Consumer DNA databases,Paper medical charts,Hospital burn units,Closed adoption records,
MC,,,What is the name of Alabama's 2024 embryo ruling in chapter 5?,4,The Dobbs ruling,Casey,Baby M,LePage,
MC,,,Baby M involved what kind of surrogacy?,2,Gestational surrogacy,Traditional surrogacy,Commercial IVF,Embryo adoption,
MC,,,Johnson v Calvert is associated with what legal test?,3,The undue-burden test,Wrongful death,The parenthood intent test,Best evidence,
MC,,,Adriana Smith was declared brain-dead at about how many weeks pregnant?,1,Nine weeks,18 weeks,22 weeks,32 weeks,
MC,,,What did the hospital cite as reason to continue support?,2,Georgia's LIFE Act,HIPAA rule,The federal Common Rule,The Belmont Report,
MC,,,Under whole-brain death a patient is legally what?,4,Unconscious,Recovering,Critically ill,Legally dead already,
MC,,,Carr's 2025 letter said the LIFE Act required what after brain death?,3,Court order,Immediate delivery,Nothing in the statute,IRB review,
MC,,,About how long was Smith kept on somatic support?,2,Four days,Four months,Four years,Four hours,
MC,,,At about how many weeks was Chance delivered?,3,12 weeks,18 weeks,22 weeks,32 weeks,
MC,,,How was Chance classified at birth in the case?,1,Extremely preterm,Full term infant,Late preterm,Post-term infant,
MC,,,Caplan argued prolonged somatic gestation in Smith's case was what rather than care?,4,Ordinary comfort care,Private mourning,Routine bedside nursing,Experimental medical practice,
MC,,,Conscription of the dead means using what for someone else's benefit?,2,Public money alone,The dead body,A court docket,A birth record,
MC,,,What Georgia statute shaped the hospital's legal reading?,1,Georgia's LIFE Act,The HIPAA privacy law,Belmont,Comstock,
MC,,,Which critic argued commercial surrogacy can intrinsically degrade women and children?,3,John Robertson's defense,Dorothy Roberts,Elizabeth Anderson,Philosopher Susan Sherwin,
MC,,,Which defender argued surrogacy is protected by procreative liberty?,4,Philosopher Susan Sherwin,Bioethicist Arthur Caplan,Dorothy Roberts,John Robertson's defense,
MC,,,Which two-word frame asks whose reproduction is constrained by social conditions?,2,Genuine clinical equipoise,The reproductive-justice frame,Lingering moral residue,Publicly shareable reasons,
MC,,,What kind of review did Emory not seek for the four-month regimen?,1,IRB review,Tax ruling,Custody trial,Peer grading,
MR,,,Which concepts structure the chapter's discussion of pregnancy autonomy and fetal-protection law?,"1,2,3,4",Harm reduction,Relational autonomy,Deterrence-of-care,Vulnerability as exclusion,Commodification
MR,,,Which concepts structure the chapter's discussion of surrogacy and reproductive markets?,"1,2,3,4",Commodification,Robertson's procreative liberty,The reproductive-justice frame,The parenthood intent test,Fair subject selection
MR,,,Which of the following statements about Adriana Smith are true?,"1,2,3,4",Adriana Smith worked as a registered nurse in Atlanta.,She was declared brain-dead at about nine weeks pregnant.,Her family said the hospital gave them no real choice.,Chance was delivered months later by emergency cesarean.,Mechanical support was permanently ended in February 2025.
MR,,,Which statements follow from whole-brain death as defined in the case?,"1,2,3,4",Whole-brain death counts as legal death under the law.,Whole-brain death is not the same thing as a coma.,A brain-dead patient is not merely unconscious.,Mechanical support can maintain organ perfusion after death.,Whole-brain death means future recovery is expected.
MR,,,Which cases or laws frame the chapter's debates about surrogacy embryos and fetal-personhood law?,"1,2,3,4",Baby M,Johnson v Calvert,LePage,Georgia's LIFE Act,Casey
MR,,,Which details support the statutory reply against Emory's reading?,"1,2,3,4",The Georgia attorney general said the statute did not require support.,The statute does not explicitly order hospitals to continue support.,Withdrawing support is not the same act as performing abortion.,Republican leaders said the LIFE Act was irrelevant here.,The hospital had guaranteed legal immunity if it withdrew support.
MR,,,Which concerns support the deterrence-of-care objection?,"1,2,3,4",Criminal penalties can push patients away from prenatal care.,Fear of prosecution can make patients hide risky behavior.,Patients may disclose less honestly when they expect punishment.,Delayed treatment can worsen both maternal and fetal outcomes.,Punitive laws generally increase trust in clinicians and hospitals.
