Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,Which form of paternalism intervenes only when a choice is not fully voluntary?,3,Strict liability,Hard paternalism,Soft paternalism,Legal moralism,
MC,,,Requiring a prescription to obtain opioids is offered as a defensible case of what?,2,Soft paternalism,Hard paternalism,Pure libertarianism,Harm to others,
MC,,,Mill's harm principle permits overriding a competent adult only to prevent what?,4,Moral offense,Harm to self,Bad character,Harm to others,
MC,,,The deterrence-of-care objection says criminalization can push patients away from what?,3,Media coverage,Research grants,Prenatal medical care,Court hearings,
MC,,,"In prosecutions like Poolaw, prenatal drug use was charged as which kind of crime?",1,Child abuse or homicide,A small civil fine,Simple drug possession,A minor traffic offense,
MC,,,US overdose deaths are the highest among wealthy nations despite drug policies that are what?,3,Broadly lenient,Mostly absent,Highly punitive,Treatment-centered,
MC,,,What makes gestational surrogacy distinct from traditional surrogacy?,2,No surrogacy contract,No genetic tie,No payment allowed,No pregnancy involved,
MC,,,Commodification means treating a good under what norms?,1,Market exchange norms,Religious moral norms,Legal regulatory norms,Family-based norms,
MC,,,Robertson's term for the right to decide whether and how to reproduce is what?,2,Medical liberty,Robertson's procreative liberty,Moral-pluralist theory,Publicly shareable reasons,
MC,,,Reproductive justice asks whose choices are constrained by what?,3,Court etiquette,Study blinding,Social conditions,Private feelings,
MC,,,The intent test comes from which case?,3,LePage,Baby M,Johnson v Calvert,Cox v Texas,
MC,,,When the intent test fails what backstop standard often remains?,1,The child's best interests,Shared common morality,Genuine clinical equipoise,Final judgment,
MC,,,Donor anonymity is harder to preserve in the era of what?,4,Paper medical charts,Closed adoption records,Hospital burn units,Consumer DNA databases,
MC,,,What is the name of Alabama's 2024 embryo ruling in chapter 5?,2,Casey,LePage,The Dobbs ruling,Baby M,
MC,,,Baby M involved what kind of surrogacy?,1,Traditional surrogacy,Gestational surrogacy,Embryo adoption,Commercial IVF,
MC,,,Johnson v Calvert is associated with what legal test?,3,Wrongful death,The undue-burden test,The parenthood intent test,Best evidence,
MC,,,Adriana Smith was declared brain-dead at about how many weeks pregnant?,4,18 weeks,32 weeks,22 weeks,Nine weeks,
MC,,,What did the hospital cite as reason to continue support?,1,HIPAA rule,The Belmont Report,The federal Common Rule,Georgia's LIFE Act,
MC,,,Under whole-brain death a patient is legally what?,3,Critically ill,Unconscious,Legally dead already,Recovering,
MC,,,Carr's 2025 letter said the LIFE Act required what after brain death?,3,Court order,Immediate delivery,Nothing in the statute,IRB review,
MC,,,About how long was Smith kept on somatic support?,4,Four days,Four years,Four hours,Four months,
MC,,,At about how many weeks was Chance delivered?,3,32 weeks,18 weeks,22 weeks,12 weeks,
MC,,,How was Chance classified at birth in the case?,3,Full term infant,Late preterm,Extremely preterm,Post-term infant,
MC,,,Caplan argued prolonged somatic gestation in Smith's case was what rather than care?,1,Experimental medical practice,Routine bedside nursing,Ordinary comfort care,Private mourning,
MC,,,Conscription of the dead means using what for someone else's benefit?,4,A court docket,A birth record,Public money alone,The dead body,
MC,,,What Georgia statute shaped the hospital's legal reading?,1,Georgia's LIFE Act,The HIPAA privacy law,Comstock,Belmont,
MC,,,Which critic argued commercial surrogacy can intrinsically degrade women and children?,4,John Robertson's defense,Dorothy Roberts,Philosopher Susan Sherwin,Elizabeth Anderson,
MC,,,Which defender argued surrogacy is protected by procreative liberty?,4,Dorothy Roberts,Philosopher Susan Sherwin,Bioethicist Arthur Caplan,John Robertson's defense,
MC,,,Which two-word frame asks whose reproduction is constrained by social conditions?,1,The reproductive-justice frame,Genuine clinical equipoise,Publicly shareable reasons,Lingering moral residue,
MC,,,What kind of review did Emory not seek for the four-month regimen?,3,Tax ruling,Peer grading,IRB review,Custody trial,
MR,,,Which ideas organize the debate over paternalism and pregnancy?,"1,2,3,4",Partial autonomy,Mill's harm principle,Deterrence-of-care,Soft and hard paternalism,Commodification
