Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,"In contrast to clinical ethics, what is the primary unit of ethical concern in public health?",1,The entire population,The medical institution,The healthcare provider,The individual patient,
MC,,,"Unlike clinical ethics which focuses on individual autonomy, public health ethics broadly emphasizes what?",3,Individual autonomy,Extending terminal life,Collective welfare,Strict informed consent,
MC,,,"According to John Stuart Mill's harm principle, power may only be rightfully exercised against an individual's will for what purpose?",4,To enforce implicit consent,To prevent self-harm,To maximize total well-being,To prevent harm to others,
MC,,,The historical case of Mary Mallon (Typhoid Mary) illustrates tensions between collective welfare protection and what?,2,Paternalism,Individual liberty,Informed consent,Medical rationing,
MC,,,How do we describe a person who spreads an infectious disease without suffering from it themselves?,2,Vaccinated individual,A healthy carrier,An immune survivor,A feverish patient,
MC,,,"In Jacobson v. Massachusetts (1905), the Supreme Court ruled that during a public health crisis states can do what?",2,Suspend liberty forever,Compel vaccination,Ban unconstitutional quarantines,Override federal authorities,
MC,,,"According to the deficit model, people hold false medical beliefs because they lack what?",3,Group identity protection,Scientific institutions,Factual information,Echo chamber feedback,
MC,,,Dan Kahan's concept of 'identity-protective cognition' argues that people reason primarily to protect what?,3,Their primary physician,Other social groups,Their group standing,Their scientific literacy,
MC,,,"According to Kahan, when highly scientifically literate people evaluate politically charged questions, what happens to them?",3,They converge on truth,They discard group identity,They become more polarized,They temporarily lose literacy,
MC,,,"According to C. Thi Nguyen, an epistemic bubble is a network where contrary voices are what?",1,Accidentally excluded,Systematically filtered,Actively discredited,Intentionally manipulated,
MC,,,"Unlike an epistemic bubble, an echo chamber actively builds distrust and does what to outside voices?",1,Preemptively discredits them,Accidentally excludes them,Easily accepts raw facts,Relies on the deficit model,
MC,,,"In 1998, Dr. Andrew Wakefield published a flawed study claiming a link between the MMR vaccine and what condition?",2,Adult onset diabetes,Autism,Polio,Guillain-Barre syndrome,
MC,,,"After discovering the data had been manipulated, what did the Lancet eventually do to Wakefield's 1998 paper?",4,Ignored it entirely,Adopted it globally,Spurred an FDA ban,Fully retracted it,
MC,,,What hidden problem did journalist Brian Deer discover regarding Wakefield's study?,3,Secret corporate funding,NHS publication coercion,Undisclosed financial conflicts,Stolen research data,
MC,,,What term describes the strategy used by industries to protect themselves by introducing artificial scientific uncertainty?,4,Legal stalling strategies,Natural scientific phases,Identity-protective cognition,Manufactured doubt,
MC,,,Which pair of ethicists developed the five justificatory benchmarks for evaluating public health interventions?,4,Nozick and Singer,Amartya Sen and Nussbaum,Mill and Rawls,Childress and colleagues,
MC,,,Which of the following is NOT one of the five justificatory benchmarks for evaluating public health?,3,Proportionality,Necessity,Paternalistic advantage,Effectiveness,
MC,,,"In vaccination contexts, what do we call a person who accepts the benefits of herd immunity without taking the vaccine risks?",2,An uninsured patient,A free rider,A taxed citizen,Experimental volunteer,
MC,,,What term describes the phenomenon where enough of a population is immune that a disease cannot sustain spread?,2,Population immunity,Herd immunity,Individual immunity,Mandated immunity,
MC,,,Which public health benchmark strictly calculates whether the overall benefits outweigh the infringed moral considerations?,4,Effectiveness,Least infringement,Necessity,Proportionality,
MC,,,Which public health benchmark requires choosing the specific option that restricts liberty the least while still succeeding?,4,Necessity,Effectiveness,Proportionality,Least infringement,
MC,,,"In the infamous Buck v. Bell (1927) ruling, what public health case was used as the central legal precedent?",3,Mary Mallon's quarantine,Cruzan v. Director,Jacobson v. Massachusetts,Roe v. Wade,
MC,,,"Using public health logic as justification, what catastrophic practice did Buck v. Bell (1927) legally defend?",1,Compulsory sterilization,Psychiatric euthanasia,Indefinite healthy detention,Mandatory organ donations,
