Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What is the main goal of clinical care?,3,Knowledge for a class,Market share,Benefit this patient,Trial enrollment,
MC,,,What is the main goal of clinical research?,1,Produce knowledge,Personal rescue,Family support,Direct treatment,
MC,,,A physician-investigator is a clinician who is also what?,4,The tissue donor,The enrolled patient,A jury member,A clinical researcher,
MC,,,Clinical equipoise means what kind of professional state?,1,Expert uncertainty,Full professional agreement,Perfect expert certainty,Zero patient risk,
MC,,,What is randomization mainly used to do in a trial?,4,Raise sponsor funding,Select likely winners,Faster consent forms,Balance trial groups,
MC,,,What does blinding mainly prevent?,1,Expectation effects,Lab staffing shortages,Open data sharing,Long follow-up,
MC,,,Phase I trials mainly study what first?,1,Basic human safety,Early drug efficacy,Drug marketing plans,Insurance coverage rules,
MC,,,Phase III trials are mainly about what?,1,Pivotal efficacy,Case reports,Diet tracking,Bench science,
MC,,,Phase IV happens mainly at what point?,1,After marketing,Before consent,During funding,Before animals,
MC,,,Which description best fits a surrogate endpoint in clinical research?,3,It is an unblinded interim review by the DSMB.,It is a direct outcome such as death or stroke.,It is a measurable stand-in for a real patient outcome.,It is a payment bonus for joining the study.,
MC,,,What independent group can stop a trial early for harm benefit or futility?,3,Grant panel,Ethics hotline,An independent DSMB panel,IRB clerk,
MC,,,Therapeutic misconception is the mistaken belief that a trial is mainly for what?,4,Public debate,Journal prestige,Clinic revenue,Personal benefit,
MC,,,Which Belmont principle most directly grounds informed consent?,2,The principle of justice,Respect for persons,Genuine expert uncertainty,Pure aggregate utility,
MC,,,Which Belmont principle becomes fair subject selection in practice?,2,The principle of autonomy,The principle of justice,Fidelity,The duty of beneficence,
MC,,,Cognitive vulnerability refers to limits on what?,2,Lab space,Real understanding of risks,Budgeting,Travel access,
MC,,,Allocational vulnerability means participation is hard to refuse because of what?,4,Media attention,Scientific doubt,Spare time,Needed resources,
MC,,,What is the Common Rule?,2,Insurance form,US research regulation,Nursing code,Hospital slogan,
MC,,,In what year was the Aβ*56 paper published?,3,2022,1996,2006,2012,
MC,,,In what journal did the Aβ*56 paper appear?,4,Cell,Neuron,The journal Science,The journal Nature,
MC,,,Which neurologist closely inspected the suspect images?,4,Henry Beecher,Bioethicist Arthur Caplan,James Jones,Neurologist Matthew Schrag,
MC,,,Which lab method did analysts inspect for duplication and splicing?,2,Patch clamp,Western blot,Blood culture,CT scan,
MC,,,Which outlet published the major exposé in 2022?,1,The journal Science,The journal Nature,Lancet,NEJM,
MC,,,In what year did Nature retract the Aβ*56 paper?,1,2024,2022,2006,2025,
MC,,,In what year did Minnesota conclude that Lesné committed misconduct?,2,2023,2025,2019,2024,
MC,,,The amyloid hypothesis centers on what protein family?,1,Amyloid beta,Collagen,Tau only,Insulin,
MC,,,Why does fake preclinical evidence threaten clinical trials downstream?,4,It lowers payroll,It speeds review,It ends consent,It creates false equipoise,
MC,,,Which endpoint is something patients directly feel or experience?,4,Lab ratio,Surrogate endpoint,Biomarker change,Clinical endpoint,
MC,,,Which research statement comes from the World Medical Association?,4,The federal Common Rule,The HIPAA privacy law,Georgia's LIFE Act,Declaration of Helsinki,
MC,,,What local body applies the Common Rule to a specific protocol?,3,The federal CDC,An independent DSMB panel,An institutional review board,NIH,
MC,,,Which senior collaborator worked with Lesné on the 2006 paper?,1,Legal scholar Mary Ziegler,Image analyst Elisabeth Bik,Donna Wilcock,Researcher Karen Ashe,
MR,,,Which mechanisms help protect trial integrity?,"1,2,3,4",An independent DSMB panel,IRB review,Blinding,Randomization,Billing codes
MR,,,Which Belmont principles govern human-subjects research?,"1,3,4",The duty of beneficence,The principle of autonomy,Respect for persons,The principle of justice,
MR,,,Which examples fit cognitive or allocational vulnerability?,"1,2,4,5",Needed services,Intellectual disability,Secure tenure,Foster care dependence,Children
MR,,,Which of the following statements about the Aβ*56 affair are true?,"2,3,4,5",The case began with data from the Tuskegee study.,Lesne resigned after Minnesota found misconduct in 2025.,Nature formally retracted the paper in 2024.,The 2006 Nature paper later became a major fraud target.,The disputed work centered on a Minnesota laboratory.
MR,,,Which people were publicly linked to the Aβ*56 case?,"1,2,3,4",Image analyst Elisabeth Bik,Sylvain Lesne,Researcher Karen Ashe,Neurologist Matthew Schrag,James H Jones
MR,,,Which claims define Schrag's argument?,"1,2,4",Honest preclinical evidence matters,Fake data can wrong subjects,All amyloid work is fake,Trials need equipoise,
MR,,,Which labels name phases of human drug testing?,"1,2,4,5",Phase III,Phase IV,Phase X,Phase II,Phase I
MR,,,Which features distinguish clinical research from ordinary care?,"1,2,3,5",Protocol role,Dual role,Knowledge for a class,Guaranteed benefit,Chance assignment
MR,,,Which counts as a surrogate endpoint rather than a clinical endpoint?,"1,5",LDL,Stroke,Death,Heart attack,Tumor shrinkage
MR,,,Which modern protections were highlighted in chapter 3?,"1,2,4,5",DSMB oversight,Informed consent,Secret deception,IRB review,Fair subject selection
